"ActivityLabel" "SubjectID" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()"
"LAYING" 11 0.27970158 -0.017336123 -0.10684966 -0.9969447 -0.99746575 -0.99358158 -0.11036401 0.94672579 0.039342412 -0.99827745 -0.99945838 -0.99198565 0.07597751 0.013107197 -0.0095866396 -0.99717827 -0.99217277 -0.99698692 -0.028137909 -0.074626483 0.085827095 -0.99455126 -0.99982657 -0.99629067 -0.097094814 -0.041809631 -0.05517476 -0.99734798 -0.99976537 -0.99762494 -0.99811152 -0.99888068 -0.99811152 -0.99888068 -0.99720971 -0.99820017 -0.99669833 -0.99812394 -0.99933325 -0.99968867 -0.99694185 -0.99519045 -0.99466003 -0.99685085 -0.99799322 -0.99244649 -0.99696089 -0.99185017 -0.99618875 -0.99772109 -0.9931776 -0.99629026 -0.99514296 -0.99985387 -0.99626316 -0.99432679 -0.99974369 -0.99654153 -0.99895553 -0.99824155 -0.99760433 -0.9978343 -0.99845923 -0.99801475 -0.9996932 -0.99936257
"LAYING" 12 0.27887259 -0.015717697 -0.096659427 -0.98629221 -0.98515736 -0.96131399 -0.40204918 0.96253012 -0.21982136 -0.99140544 -0.99710925 -0.98132053 0.071825038 0.012652495 0.0084537158 -0.98326352 -0.98178841 -0.98999918 -0.03032028 -0.063197016 0.087171585 -0.97929162 -0.97493873 -0.97337774 -0.095174075 -0.047519706 -0.064556798 -0.98400759 -0.98337901 -0.98454383 -0.97753259 -0.98292421 -0.97753259 -0.98292421 -0.98594283 -0.98792293 -0.97664768 -0.96694267 -0.98447581 -0.98566351 -0.98389153 -0.98278933 -0.97881819 -0.98730684 -0.98639719 -0.95458415 -0.98379598 -0.98247249 -0.98740493 -0.98411929 -0.98218985 -0.99133764 -0.97750174 -0.97402368 -0.97040176 -0.97985723 -0.97561523 -0.97676314 -0.98293623 -0.98449817 -0.98723371 -0.98751723 -0.97411109 -0.96764193 -0.98459694 -0.98794498
"LAYING" 13 0.28061952 -0.017043025 -0.097785029 -0.98750403 -0.9355005 -0.92545348 -0.14536688 0.93119816 0.2098108 -0.99717909 -0.99465922 -0.98180371 0.047393659 0.044293924 0.026334725 -0.97908447 -0.94011507 -0.94720361 -0.042851045 -0.096878471 0.071488402 -0.93875771 -0.93630994 -0.94906374 -0.15550923 -0.019481796 -0.05011708 -0.92836163 -0.96801572 -0.97362002 -0.96339095 -0.93467609 -0.96339095 -0.93467609 -0.96490402 -0.93332339 -0.95231635 -0.88237181 -0.96874116 -0.94291705 -0.98053576 -0.9175974 -0.92303187 -0.99163186 -0.95049306 -0.93221641 -0.97745952 -0.93469922 -0.93657613 -0.98312973 -0.95232932 -0.95732164 -0.90199321 -0.93652705 -0.95079965 -0.95178232 -0.93652848 -0.95295727 -0.93380613 -0.94422711 -0.93168712 -0.93414026 -0.9073819 -0.8861718 -0.95225606 -0.93567694
"LAYING" 14 0.31764294 -0.017278383 -0.1128868 -0.97144792 -0.92483721 -0.96128372 -0.070065598 0.45412664 0.84494777 -0.96321205 -0.99347654 -0.99177388 0.036166662 0.043252397 0.06573107 -0.96742617 -0.96009147 -0.97069499 -0.026376263 -0.054082642 0.077127442 -0.96807425 -0.9155888 -0.94347271 -0.11782353 0.021067118 -0.11452238 -0.97327585 -0.96362732 -0.97640395 -0.96037275 -0.93732776 -0.96037275 -0.93732776 -0.97209653 -0.95400598 -0.9526727 -0.88831483 -0.97376693 -0.95894081 -0.96347256 -0.92986205 -0.95831616 -0.97526046 -0.92591152 -0.96553278 -0.96588369 -0.96214969 -0.96617746 -0.97233888 -0.96036391 -0.97385154 -0.95919058 -0.91274314 -0.91896983 -0.97082637 -0.91789844 -0.95953743 -0.94629633 -0.94104611 -0.95845455 -0.94702828 -0.88930411 -0.90695139 -0.96132132 -0.9583286
"LAYING" 15 0.2891973 -0.01032107 -0.081587845 -0.94657523 -0.93924852 -0.92596559 -0.099635953 0.87613768 -0.36110886 -0.95881891 -0.97271365 -0.93669371 0.11570358 0.0014867831 0.014487023 -0.98005087 -0.95572995 -0.96172375 -0.042205959 -0.080406376 0.13702303 -0.9194901 -0.96880939 -0.94414412 -0.14210776 -0.0061371957 -0.057956166 -0.95325991 -0.98135737 -0.96611838 -0.93265333 -0.95112538 -0.93265333 -0.95112538 -0.96778361 -0.96158587 -0.94352996 -0.88575049 -0.97639316 -0.96483867 -0.95231968 -0.94337229 -0.94020789 -0.94418829 -0.93986847 -0.92302769 -0.97886951 -0.95763135 -0.95319727 -0.98339052 -0.95650969 -0.9696714 -0.89306511 -0.96348605 -0.9455542 -0.92786883 -0.97276572 -0.94859684 -0.95855859 -0.95347318 -0.95977186 -0.96279582 -0.90110693 -0.89470439 -0.96610098 -0.96515229
"LAYING" 16 0.2889568 -0.021767059 -0.11397839 -0.96690411 -0.9624269 -0.98336556 -0.31980573 -0.43005055 0.92529236 -0.97721561 -0.98905993 -0.99271547 0.082263991 0.0020243116 -0.0024499205 -0.98842372 -0.98828468 -0.99112985 -0.031521348 -0.089544558 0.08698187 -0.98202979 -0.96631769 -0.99632966 -0.094152904 -0.0351954 -0.052326751 -0.98652727 -0.98704033 -0.99703741 -0.97039842 -0.96854519 -0.97039842 -0.96854519 -0.99055698 -0.99104559 -0.97657146 -0.96464129 -0.99101168 -0.98565624 -0.97859185 -0.97428147 -0.98845513 -0.96277647 -0.95833036 -0.98072375 -0.98819646 -0.98740635 -0.99025545 -0.98974564 -0.9903861 -0.99041287 -0.9804084 -0.97380559 -0.99592128 -0.98252426 -0.96244207 -0.99675212 -0.97756654 -0.96748459 -0.98901489 -0.99279903 -0.97157226 -0.96584962 -0.98604588 -0.98567125
"LAYING" 17 0.28283645 -0.01129484 -0.12444318 -0.98906368 -0.97094952 -0.96624792 -0.21466828 0.77846172 0.61295291 -0.99514065 -0.9931961 -0.98919418 0.078571501 0.02612691 -0.020796367 -0.98488938 -0.98100006 -0.98129247 -0.014427106 -0.10205524 0.080956132 -0.98879807 -0.97177013 -0.98844683 -0.096076909 -0.056558538 -0.038549664 -0.99022179 -0.9821276 -0.99709439 -0.97853755 -0.96923682 -0.97853755 -0.96923682 -0.98541574 -0.97787482 -0.97726754 -0.96534459 -0.99112023 -0.97890834 -0.98589392 -0.97090378 -0.97127139 -0.9905896 -0.9717089 -0.96500373 -0.98386766 -0.98208122 -0.98124122 -0.98759514 -0.98095954 -0.97964465 -0.98650076 -0.96959327 -0.98698172 -0.98945497 -0.97333213 -0.98994331 -0.97354296 -0.97037116 -0.97952443 -0.97406878 -0.97066839 -0.96741574 -0.97955589 -0.97908793
"LAYING" 18 0.27780865 -0.017104855 -0.10790969 -0.96980223 -0.9854455 -0.97488386 -0.20598495 0.53126713 0.84417911 -0.97706073 -0.99638116 -0.98326139 0.078607353 0.016588549 -0.0011817016 -0.97412551 -0.98430771 -0.99023813 -0.025380331 -0.078255164 0.086735469 -0.98585224 -0.97081687 -0.98364757 -0.091934845 -0.050251267 -0.051560724 -0.99472864 -0.98676228 -0.98533164 -0.97459681 -0.97894534 -0.97459681 -0.97894534 -0.98417161 -0.97871405 -0.98043224 -0.96769598 -0.99068373 -0.98562124 -0.97544671 -0.98347203 -0.98395117 -0.9675006 -0.98641554 -0.97090004 -0.97440898 -0.98528069 -0.98829225 -0.97611973 -0.98416175 -0.99076722 -0.98749516 -0.97693654 -0.98285416 -0.98548067 -0.96759743 -0.9852807 -0.97852723 -0.98140875 -0.97840871 -0.97748346 -0.9753787 -0.96798901 -0.9857103 -0.98602061
"LAYING" 19 0.27785117 -0.016397777 -0.1134647 -0.97378713 -0.9812092 -0.99120266 -0.82181822 0.7196708 0.68992269 -0.98235161 -0.99648996 -0.99532068 0.074101339 0.0093402263 0.0033884544 -0.99063924 -0.96781068 -0.99124988 -0.025986993 -0.094693892 0.096298577 -0.98460441 -0.96537127 -0.98057987 -0.10104878 -0.033571022 -0.054191561 -0.96736443 -0.98559265 -0.99013213 -0.98111369 -0.9792454 -0.98111369 -0.9792454 -0.99020705 -0.97464108 -0.97653962 -0.95918532 -0.98760529 -0.97332336 -0.98408331 -0.97316446 -0.99077836 -0.97014157 -0.9869385 -0.99129653 -0.98994566 -0.96580745 -0.99053804 -0.99239947 -0.97296151 -0.99035285 -0.97234339 -0.97562932 -0.98238909 -0.98946611 -0.96030191 -0.98156455 -0.97956201 -0.98115493 -0.97372203 -0.97454169 -0.96740207 -0.96050281 -0.97743142 -0.9698481
"LAYING" 20 0.23479329 -0.018207291 -0.10128409 -0.95700319 -0.96265371 -0.91707607 -0.51876515 0.97928448 0.23142467 -0.99020677 -0.99656942 -0.98892439 0.060875097 0.020529782 0.02579988 -0.97633631 -0.97278946 -0.97869383 -0.041292726 -0.045874793 0.069474459 -0.92561099 -0.94543914 -0.92200917 -0.10818461 -0.032021962 -0.052353084 -0.9579137 -0.96035032 -0.9628204 -0.95918469 -0.9048555 -0.95918469 -0.9048555 -0.97713519 -0.97569206 -0.94427931 -0.87147682 -0.96613751 -0.95351017 -0.9611222 -0.96345771 -0.9431043 -0.95521645 -0.96348744 -0.90938739 -0.97567513 -0.97178911 -0.97591643 -0.97930797 -0.97612797 -0.97996014 -0.92897898 -0.94470478 -0.92878193 -0.92558749 -0.94619519 -0.92679776 -0.93336036 -0.90498903 -0.97453078 -0.97589795 -0.91507211 -0.86774741 -0.95743729 -0.95137783
"LAYING" 21 0.30081779 -0.014482421 -0.11490863 -0.95118929 -0.98412005 -0.9628643 -0.22842666 0.59676549 0.80453283 -0.94349569 -0.98923846 -0.96971831 0.066139884 0.0028786058 0.0060750394 -0.99058411 -0.99221096 -0.99750645 -0.028348876 -0.064395281 0.086180139 -0.98989145 -0.95931482 -0.99652393 -0.099613471 -0.029381859 -0.05844406 -0.99413713 -0.99291288 -0.99432359 -0.95798397 -0.95723908 -0.95798397 -0.95723908 -0.99484589 -0.99609382 -0.97145101 -0.97497818 -0.99461989 -0.99376137 -0.97691896 -0.9894684 -0.98682948 -0.94345868 -0.98147703 -0.95384102 -0.99103351 -0.99162604 -0.99665816 -0.99086419 -0.99360509 -0.99688518 -0.99104649 -0.97881464 -0.99517708 -0.98958324 -0.95085176 -0.99742095 -0.97834997 -0.95318287 -0.99537268 -0.99594106 -0.98263618 -0.97420644 -0.99370451 -0.99386196
"LAYING" 22 0.29389279 -0.014694867 -0.11565196 -0.96856409 -0.95040675 -0.97048073 -0.35531281 0.73343947 0.69052317 -0.99333669 -0.99732292 -0.99594624 0.078966779 -0.0028782108 0.0046161387 -0.95804928 -0.96104974 -0.97131477 -0.028624237 -0.085756755 0.088384345 -0.9688976 -0.97017372 -0.97115766 -0.094897695 -0.041628697 -0.057056173 -0.97340316 -0.97451841 -0.96527595 -0.96973689 -0.95214614 -0.96973689 -0.95214614 -0.96920549 -0.94876639 -0.97066853 -0.95492341 -0.98008009 -0.96408403 -0.9625534 -0.95108181 -0.96714393 -0.97122131 -0.95209708 -0.97431552 -0.95978343 -0.96268321 -0.96753205 -0.95984285 -0.96177293 -0.97362019 -0.96504682 -0.9666569 -0.96297646 -0.97012407 -0.97272462 -0.97703643 -0.95442442 -0.95709504 -0.9526761 -0.94243618 -0.962064 -0.95758476 -0.96786686 -0.96149295
"LAYING" 23 0.29459424 -0.020627359 -0.10779854 -0.94633719 -0.96642562 -0.95689044 -0.42203461 0.41222403 0.93465327 -0.97405742 -0.98857623 -0.99106604 0.10442274 0.016605476 0.016436266 -0.97185079 -0.97687263 -0.95521074 -0.022276601 -0.11405744 0.083639243 -0.95525629 -0.9196102 -0.97517405 -0.060996903 -0.025187479 -0.063841043 -0.91665281 -0.93978721 -0.97817064 -0.95292402 -0.94863689 -0.95292402 -0.94863689 -0.9736892 -0.9470279 -0.94240664 -0.90706447 -0.95844856 -0.91205559 -0.94460197 -0.97217656 -0.95100841 -0.94686855 -0.9645982 -0.96367635 -0.96615621 -0.97553654 -0.94522259 -0.9830855 -0.98039373 -0.96482965 -0.92172712 -0.91471937 -0.96943837 -0.96817859 -0.92328321 -0.97960631 -0.94379404 -0.95863162 -0.94506772 -0.9485187 -0.90760324 -0.92272853 -0.92242865 -0.90531138
"LAYING" 24 0.27052624 -0.017184432 -0.10674087 -0.97947163 -0.98883964 -0.98724847 -0.2599467 0.74758949 0.66229817 -0.9786908 -0.99857421 -0.98950808 0.077284822 0.0073494538 -0.0029906454 -0.990284 -0.98219317 -0.98966329 -0.027949629 -0.073815072 0.086261317 -0.99187296 -0.96908985 -0.99737373 -0.098480277 -0.040412193 -0.05479156 -0.98186462 -0.98767296 -0.99634913 -0.98342545 -0.9923642 -0.98342545 -0.9923642 -0.98861984 -0.99090612 -0.97959682 -0.97870913 -0.98821311 -0.988565 -0.9873186 -0.98455655 -0.98761935 -0.97656789 -0.99124592 -0.98710359 -0.98993691 -0.98150526 -0.98800808 -0.99159882 -0.98442293 -0.98982642 -0.98702534 -0.97822966 -0.99615607 -0.99358528 -0.96454288 -0.99816731 -0.99268415 -0.99234384 -0.99041621 -0.99023724 -0.97955935 -0.98159172 -0.98758867 -0.99028725
"LAYING" 25 0.29588117 0.03052496 -0.22678798 -0.96806314 -0.91105784 -0.89996193 -0.49518816 0.80962506 0.61367582 -0.98147935 -0.90291993 -0.83235833 0.088283449 0.086146212 -0.075024062 -0.97023114 -0.93422698 -0.95907746 0.0091793095 -0.056215984 0.1285015 -0.91586783 -0.94628425 -0.95314467 -0.075278477 -0.051950373 -0.031648445 -0.95338594 -0.96522327 -0.97810705 -0.86786157 -0.87614833 -0.86786157 -0.87614833 -0.95670306 -0.95189582 -0.92388135 -0.88660086 -0.96339904 -0.97010466 -0.96788047 -0.90037789 -0.90743939 -0.96795766 -0.92197768 -0.90268861 -0.97301318 -0.93361814 -0.95074317 -0.96979932 -0.93979465 -0.96667306 -0.91122053 -0.94857283 -0.95726045 -0.9178669 -0.94518186 -0.95590629 -0.88448845 -0.88967249 -0.94722127 -0.9571412 -0.92226897 -0.88448614 -0.96869464 -0.97379817
